stn;time;uto200s0;gre000z0;tre200s0;ure200s0;fkl010z0;fve010z0
THU;2.02405E+11;8.4;0;8.3;99.3;0.4;0.4
THU;2.02405E+11;8.4;0;8.3;99.3;0.3;0.2
THU;2.02405E+11;8.3;0;8.2;99.2;0.2;0.1
THU;2.02405E+11;8.2;0;8;99.3;0.3;0.3
THU;2.02405E+11;8.2;0;8;99.3;0.8;0.5
THU;2.02405E+11;8.2;0;8.1;99.3;0.8;0.7
THU;2.02405E+11;8.2;0;7.9;99.3;0.9;0.8
THU;2.02405E+11;8.1;0;7.8;99.3;0.4;0.4
THU;2.02405E+11;8.2;0;7.9;99.3;0.5;0.5
THU;2.02405E+11;8.2;0;8;99.3;1;0.9
THU;2.02405E+11;8.2;0;8.1;99.3;0.4;0.4
THU;2.02405E+11;8.2;0;8;99.3;0.5;0.4
THU;2.02405E+11;8.2;0;7.9;99.3;1.2;1.1
THU;2.02405E+11;8.2;0;8;99.3;1;1
THU;2.02405E+11;8.3;0;8.2;99.3;0.8;0.8
THU;2.02405E+11;8.2;0;8.1;99.2;0.3;0.3
THU;2.02405E+11;8.2;0;8.1;99.2;0.6;0.5
THU;2.02405E+11;8.1;0;7.8;99.3;0.8;0.8
THU;2.02405E+11;8.1;0;7.8;99.3;0.8;0.7
THU;2.02405E+11;8.1;0;7.8;99.3;1.1;1
THU;2.02405E+11;8;0;7.7;99.3;0.7;0.5
THU;2.02405E+11;8.1;0;7.8;99.3;0.9;0.8
THU;2.02405E+11;8;0;7.7;99.3;0.4;0.4
THU;2.02405E+11;8.1;0;7.8;99.3;0.2;0.2
THU;2.02405E+11;8;0;7.6;99.3;0.7;0.7
THU;2.02405E+11;8;0;7.5;99.3;0.2;0.2
THU;2.02405E+11;7.9;0;7.4;99.3;1.1;0.8
THU;2.02405E+11;8;0;7.6;99.3;0.8;0.6
THU;2.02405E+11;8;0;7.7;99.3;1;0.9
THU;2.02405E+11;8;0;7.7;99.3;0.9;0.7
THU;2.02405E+11;8.1;0;7.8;99.3;0.4;0.4
THU;2.02405E+11;8;0;7.7;99.3;0.3;0.2
THU;2.02405E+11;8;0;7.7;99.3;1.1;0.9
THU;2.02405E+11;8;0;7.6;99.3;1.3;1.1
THU;2.02405E+11;8;0;7.9;97.7;2.3;2
THU;2.02405E+11;7;0;8.4;82.2;3.7;3.6
THU;2.02405E+11;6.8;0;8.4;81.2;2.9;2.8
THU;2.02405E+11;6.8;0;8.5;79.7;2.9;2.8
THU;2.02405E+11;7;0;8.1;84.3;1.5;1
THU;2.02405E+11;7.8;0;7.6;96.6;2.3;2.3
THU;2.02405E+11;8;0;7.7;99.2;3;3
THU;2.02405E+11;8.1;0;7.8;99.2;3.2;3.2
THU;2.02405E+11;8.2;0;7.9;99.1;3.2;3.2
THU;2.02405E+11;8;0;7.8;98.1;2.9;2.8
THU;2.02405E+11;8;0;7.7;98.8;2;1.9
THU;2.02405E+11;7.8;0;7.5;97.7;1.6;1.6
THU;2.02405E+11;7.8;0;7.5;97.1;0.8;0.6
THU;2.02405E+11;7.8;0;7.7;96.6;1.7;1.6
THU;2.02405E+11;7.7;1;7.7;95.1;1.5;1.3
THU;2.02405E+11;7.4;4;7.7;91.8;1.2;1.1
THU;2.02405E+11;7.5;8;7.6;93.1;1.9;1.6
THU;2.02405E+11;7.6;12;7.7;92.9;1.8;1.8
THU;2.02405E+11;7.4;17;7.7;91.7;1.8;1.7
THU;2.02405E+11;7.5;22;7.5;93.5;1.4;1.3
THU;2.02405E+11;7.5;21;7.6;92.9;2.6;2.6
THU;2.02405E+11;7.6;25;7.6;93.6;2.2;2.2
THU;2.02405E+11;7.6;29;7.5;94.2;1.6;1.5
THU;2.02405E+11;7.6;30;7.6;93.5;1.6;1.5
THU;2.02405E+11;7.5;41;7.6;92.7;2.2;2.2
THU;2.02405E+11;7.5;54;7.6;93.3;1.3;1.1
THU;2.02405E+11;7.8;70;7.7;96.5;1.2;1.2
THU;2.02405E+11;7.6;95;7.9;92.8;2.1;2
THU;2.02405E+11;7.7;152;8.2;91.8;1.6;1.5
THU;2.02405E+11;7.6;179;8.4;90.2;1.5;1.5
THU;2.02405E+11;7.5;154;8.5;87.2;2;2
THU;2.02405E+11;7.3;148;8.5;85.7;2.3;2.2
THU;2.02405E+11;7.5;145;8.6;87.1;1.1;0.9
THU;2.02405E+11;7.5;155;8.6;86.6;1.5;1.5
THU;2.02405E+11;7.4;175;8.6;85.8;0.9;0.9
THU;2.02405E+11;7.5;212;8.9;86;0.6;0.6
THU;2.02405E+11;7.5;207;8.9;84.8;0.5;0.5
THU;2.02405E+11;7.4;217;9;84.1;0.5;0.3
THU;2.02405E+11;7.5;278;9.1;85;0.7;0.6
THU;2.02405E+11;7.5;346;9.3;83.5;1.2;1.1
THU;2.02405E+11;7.5;384;9.6;82.4;1.1;0.9
THU;2.02405E+11;7.4;406;9.6;80.9;0.8;0.6
THU;2.02405E+11;7.5;365;9.9;80.3;0.8;0.7
THU;2.02405E+11;7.3;429;10.2;76.9;1.4;1.2
THU;2.02405E+11;7.3;642;10.6;74.3;1;0.7
THU;2.02405E+11;7.2;689;10.9;73.2;1.3;1.2
THU;2.02405E+11;7.2;494;10.8;72.8;1.2;1.1
THU;2.02405E+11;7.1;428;10.7;72.3;1.3;0.9
THU;2.02405E+11;7.2;302;10.8;73.1;1;0.7
THU;2.02405E+11;7.2;231;10.6;73.5;1.2;1.1
THU;2.02405E+11;7.1;333;10.6;72.5;1.3;1.2
THU;2.02405E+11;7.2;377;11;71.4;1.7;1.4
THU;2.02405E+11;7.2;347;11.2;70.5;1.8;1.7
THU;2.02405E+11;7;392;11.4;68.6;1.5;1.1
THU;2.02405E+11;6.9;385;11.6;66.8;1.6;1.2
THU;2.02405E+11;6.9;282;11.5;66.9;2.9;2.6
THU;2.02405E+11;6.9;279;11.5;66.1;2;1.8
THU;2.02405E+11;6.8;226;11.4;66.2;1.9;1.9
THU;2.02405E+11;6.8;232;11.5;65.9;1.4;1.2
THU;2.02405E+11;7;252;11.7;66.6;1.4;1.3
